Rb[ppm],errRb[ppm],Sr[ppm],errSr[ppm],Sr87Sr86,errSr87Sr86
0.138,,30.9,,0.6997,0.00005
0.548,,349,,0.69931,0.00003
0.0523,,9.55,,0.69998,0.00002
0.1407,,221,,0.6992,0.000015
0.416,,137,,0.69964,0.00005
0.062,,0.37,,0.716,0.0025
1.043,,142.5,,0.70042,0.000035
