Re,s[Re],Os,s[Os],Os187Os188,s[Os187Os188]
13.36,0.08,193.9,0.6,1.5438,0.0039
13.2,0.04,199.1,0.8,1.4904,0.0064
16.98,0.08,257.5,0.7,1.4856,0.0028
32.7,0.16,287.3,1,2.3252,0.0054
49.81,0.24,490.3,3.5,2.112,0.0221
44.25,0.14,349.6,1,2.6146,0.0046
47.09,0.15,340.9,1.3,2.8436,0.0072
47.16,0.23,341.8,1.1,2.8319,0.0052
