K40Ca40,errK40Ca40,Ca44Ca40,errCa44Ca40,rho
0.580,0.018,0.01060,0.00059,0.25
0.658,0.022,0.01000,0.00062,0.25
0.705,0.024,0.00884,0.00060,0.24
0.785,0.027,0.00989,0.00066,0.24
0.805,0.029,0.00897,0.00064,0.24
0.860,0.031,0.00843,0.00063,0.23
0.931,0.036,0.00715,0.00059,0.22
0.947,0.036,0.00790,0.00063,0.23
0.958,0.038,0.00687,0.00059,0.22
0.966,0.038,0.00714,0.00061,0.22
1.007,0.040,0.00661,0.00059,0.22
1.049,0.042,0.00681,0.00060,0.22
1.089,0.042,0.00753,0.00064,0.22
1.041,0.043,0.00565,0.00054,0.21
1.077,0.043,0.00669,0.00060,0.22
1.070,0.046,0.00490,0.00051,0.20
1.093,0.042,0.00743,0.00063,0.22
1.086,0.044,0.00621,0.00057,0.21
1.138,0.046,0.00614,0.00058,0.21
1.147,0.046,0.00593,0.00056,0.21
1.117,0.045,0.00599,0.00056,0.21
1.164,0.046,0.00671,0.00060,0.21
1.146,0.046,0.00582,0.00055,0.21
1.124,0.042,0.00737,0.00061,0.22
1.113,0.042,0.00667,0.00057,0.21
1.173,0.045,0.00667,0.00057,0.21
1.146,0.044,0.00636,0.00056,0.21
1.164,0.046,0.00586,0.00054,0.21
1.221,0.048,0.00556,0.00052,0.20
1.238,0.049,0.00566,0.00053,0.20
