He,sHe,U,sU,Th,sTh
12.48,1.88,588.19,6.86,451.29,7.02
13.23,1.99,874.38,7.55,628.05,11.11
5.47,0.83,294.29,3.51,156.39,2.56
8.73,1.32,595.94,7.69,260.26,4.29
9.46,1.42,645.15,8.4,370.18,6.97
12.44,1.87,867.17,8.86,374.24,5
3.1,0.48,221.88,2.6,163.49,2.8
2.99,0.46,225.88,2.34,136.26,2.01
3.38,0.52,131.12,1.98,130.26,2.04
8.11,1.22,356.95,6.77,203.52,4.6
1.6,0.26,106.96,1.51,126.01,2.43
