X
251.6
245.4
252.2
253.8
250.1
261.7
262.5
259.6
249.1
249.8
264.0
260.3
246.8
256.2
249.1
249.8
260.6
255.1
249.3
248.2
252.1
253.9
252.5
243.3
249.7
247.3
249.8
248.7
252.5
252.7
254.6
249.5
249.3
251.0
260.9
259.1
250.1
251.2
251.0
249.7
260.7
