2/8,s[2/8],0/8,s[0/8],rho
0.1677,0.00467883,0.7816,0.01539752,0.3348
0.282,0.0064014,0.7983,0.01508787,0.3182
0.3699,0.00761994,0.8188,0.01498404,0.3043
0.4473,0.00872235,0.8125,0.014625,0.2972
0.5065,0.00947155,0.8416,0.01481216,0.288
0.552,0.0099912,0.862,0.0149126,0.2797
