N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,T8,T13
598.8,1144,1229.5,1343.9,1235.4,1032.9,991,997.2,1064.3,747.1,1041,1136.5,1879.4,1372.7,274.6,510.1
1794.2,555.1,1331.2,1097,1292.5,1260.6,788.4,573,1067.4,552.6,1239.3,2110.5,953.1,901.6,1801.2,1097.6
622.6,1143,1370.9,1156.3,1171.7,605,1092.2,1263.4,1118.7,1001.9,1217,285.2,1034.5,1142.3,1049.5,673.8
566.5,1079.1,1264.8,1128.6,1216.4,1441.7,1080.7,1299,1147.7,1094,1416.2,1411,1134.4,1091.1,1031.5,509.2
543.5,987.2,688.3,1039.4,2064.6,1547.1,725.6,981.6,641.6,1073.9,551.2,1040.3,1063.3,581.5,1205.8,1650.3
1004.9,1117.7,1741.1,875.5,1322.2,713.1,1098.4,859.2,1124.9,1010.4,815.1,1214.9,1881.7,1152.8,1055.8,1038.6
1013.3,706,1276.2,549,1329.1,1462.8,1097.8,606.5,579.2,632,1111.4,1019.6,710.2,1045.9,573.7,502.3
604.4,678.7,2106.1,1406.4,872.4,1101.6,930.7,1844.6,924,1056.8,1061.9,712.2,1035.4,1063.6,636.1,1231
663.4,647.9,665.1,1431.6,2326.5,858.7,1134.6,603.4,1158.7,1951,549.2,986.9,622.5,898.8,890.7,1049.6
645.1,1170.7,2455.2,1408.3,1372.3,1813.8,1066.4,1014.8,819.7,1070,1033.4,606.2,1148.4,1082.3,537.4,1048.4
475.1,1041.2,1211,1152.1,1172.1,1233.1,1139.9,1056.3,503,883,526.5,344.9,970.5,975.9,1851,1891
128.9,999.5,1127.3,1284.8,696,944.7,1007.2,1916.1,1061.2,498.4,1165.1,589.4,1162.1,616.6,1058.7,521.4
564.9,773.3,824.6,648.1,1360,1302.4,1227.3,1263,2547.9,1041.1,2100,1131.2,540,940,682.4,1157.4
2994.5,1125,867.4,1876.7,1148.1,541.4,1345.8,558.1,1498.8,1123,2666.9,1028.2,1117.7,1948.4,543.5,921.9
510.2,1123.5,210.9,1373.6,510.2,3402,1911,1136.6,281.7,1908,1222.7,602.9,1138.7,976.3,385.3,986.5
629.5,242.7,1839.2,554.2,610.6,952.3,687.5,1199.3,2845.5,565.1,1738.7,535,1092.3,697.5,1038,1106.3
1031.2,549.8,691.1,519.9,1301.8,1027.7,3208.7,1793.6,684.1,584.7,547.3,1142,912.7,1174.6,1803.5,850.9
903.2,1162.7,682.3,1169.4,1118.3,1074,2076.6,948.7,1175.2,1152.5,1148.9,1682.2,565.5,1308.1,1025.7,1097.1
633.2,1267.3,1190.1,1914.7,268.9,256.3,1153.1,2086.5,607,1050.5,592.2,1131.2,813.6,856.4,580.4,283.2
474.5,542.3,639.9,1912.5,616.8,1195.9,1099.1,520.6,1176.6,2088.2,516.4,1874.3,605.9,296,1031.6,2731
1073.1,1033.6,1254.6,1380.2,619.3,1066.5,655.7,600,627.1,1103.7,1093.5,616.3,1052.2,1200.9,1224.2,1094.1
549.2,1208.7,682.1,1131.4,226.9,1092.7,738.8,1178.5,569.8,653.3,193.3,855.9,1158.8,547.1,613.9,978.5
1128.5,755.5,2068.2,1688.5,1788.9,1412.8,1416.9,2059.2,1202.2,1028.2,288.3,585.6,1920.6,1093.4,1741.3,1785.6
788.6,594.2,583.7,1801.5,1408.2,1005,1069.4,1094.1,1936.9,1002.2,1204.2,278.6,1041.7,1081.7,1051.3,1098.3
559.3,675.3,769.1,1126.3,567.9,1186,657.6,1011.5,1036.2,1233.8,1155.3,664.3,1732.7,740,1008.1,1069.8
1246.1,1431.3,1615.3,1894.9,1804.1,1042.9,1111.9,272.2,1176.4,547.6,270.9,1894.9,2654.4,1007.9,1055.7,581.9
979.2,973.5,1150.5,1085.9,1180.3,1281.8,1218.1,276.9,862.9,1413,544.3,610.9,890.9,1311.6,1740.6,506.9
535.7,1124.3,1283.5,1070.7,660.1,1888.9,1137.9,1156.8,1130.4,1357.3,1052.7,1066.5,2096.5,669.5,1007.9,1066.8
546.5,836.9,1223,1086.4,553.7,1560.6,1060.6,545.3,1729.7,1323.3,552.6,1604.3,947,1011.5,1078.9,526.1
777.5,739.5,1054.1,1224,560,1888,1982.7,1023.9,565.2,1217.5,533.7,2078,1049.9,626.6,814.9,537.8
686,603.1,1128.6,985.3,638.5,2193.3,1976.7,563.5,1055.8,255.7,1055.1,2547.9,992.4,925.6,592.6,477.9
1040.1,751,1980.7,675.8,943,1154.6,,856.4,907.1,1221.8,1148.6,569.4,1000,566,1067.4,1145.1
1005.8,1077.9,1120.4,2157.3,1769.2,1196.3,,1108.5,1827.7,1265.3,601.8,970.9,930.5,695.8,1099.1,2128.8
597.4,567.1,2312.2,1823.7,1773.5,809.9,,1126.9,692.1,1092,616.5,808.7,1425.8,859.8,260.9,512.4
1805.8,1766.1,1020.4,1005.1,673.6,1206.8,,614.5,1929.8,1729.3,1129.3,1070.5,704.6,335.6,476,1192.5
1157.9,596.4,723.1,581.9,1038.7,1042.8,,490.5,557.5,1326.3,645.4,1020,500.9,,587.3,590.5
520.4,613.6,660.5,1005.7,493.3,1111,,1839.8,749.6,585.5,1098.8,1008.1,1090,,1783.4,1099.5
612.6,1142.6,1105.6,1284.9,264,628.1,,1391.5,887.9,339.7,1102.2,1108.1,1750.4,,503.5,1836.4
502.8,534.3,1051.1,1060.3,1027.7,293,,578,2166.1,1229,558.3,1830.5,1181,,574.3,662.9
538.1,630,1687.5,1890.7,1730.4,1094.6,,632.6,1028.7,628.3,620.2,1062.3,1193.3,,574.7,997
832.8,665.1,1440.5,1115.7,375.9,1920.5,,555.6,3351.4,1271.6,559.4,1121.1,1223.2,,999.8,1881.5
