Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,Ar39Ar36,errAr39Ar36
0.348999665,0.000066377,0.000665993,0.000001440,524.029190614,1.142884647
0.340068354,0.000076832,0.000722142,0.000001477,470.915989674,0.997026956
0.385067265,0.000063099,0.000410516,0.000002085,938.007277236,4.738795813
0.388580042,0.000051537,0.000386392,0.000001591,1005.662843724,4.124777440
0.328193904,0.000065755,0.000909282,0.000003577,360.937493031,1.389002158
0.399971367,0.000049184,0.000309799,0.000001194,1291.067551661,4.972503177
0.344939221,0.000044366,0.000691557,0.000001960,498.786588061,1.389363744
0.345608130,0.000044167,0.000691275,0.000001151,499.957603036,0.833460613
0.398433755,0.000055910,0.000313668,0.000001114,1270.239062583,4.463713477
0.421314176,0.000058265,0.000150721,0.000000918,2795.322561241,17.101405553
