Re187Os188,errRe187Os188,Os187Os188,errOs187Os188,rho
394.2,2.4,1.5438,0.0039,0.065
377.1,1.2,1.4904,0.0064,0.14
374.8,1.8,1.4856,0.0028,0.058
708.1,3.5,2.3252,0.0054,0.092
618.2,3.3,2.112,0.0221,0.26
810.9,2.6,2.6146,0.0046,0.11
905.2,3,2.8436,0.0072,0.14
903.1,4.4,2.8319,0.0052,0.087
