Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,Ar39Ar36,errAr39Ar36
0.2519061368,0.0000563552,0.0014245920,0.0000025723,176.8268661129,0.2859327920
0.3471373941,0.0000746588,0.0007073145,0.0000014692,490.7822079882,0.9780784242
0.4078881133,0.0000814152,0.0002618920,0.0000006951,1557.4671522662,4.2468890532
0.4251256329,0.0000876972,0.0001319821,0.0000005489,3221.0864865351,13.6638964889
0.4340396251,0.0000584100,0.0000629217,0.0000001709,6898.0933133326,19.0117552198
0.4348656780,0.0000656250,0.0000581129,0.0000005172,7483.1121552658,66.9566248513
0.4360616165,0.0000870918,0.0000488409,0.0000001531,8928.2081635001,28.7165180653
0.4388029041,0.0000799421,0.0000277683,0.0000003515,15802.2959676999,199.5281782498
0.4383329339,0.0000601388,0.0000307174,0.0000002972,14269.8601786125,137.4100590114
0.4391399140,0.0000554047,0.0000240204,0.0000004792,18281.9898099098,364.8079092293
0.4378144955,0.0000864197,0.0000314792,0.0000003832,13908.0503340144,169.9892902837
0.4383893934,0.0000931212,0.0000284245,0.0000005881,15422.9164328346,320.1590669601
0.4365129145,0.0001002002,0.0000424957,0.0000004060,10271.9427964020,97.9761562226
0.4378084608,0.0000573655,0.0000383502,0.0000003350,11416.0737060042,99.1475187131
0.4380608023,0.0000519715,0.0000428441,0.0000004403,10224.5336567823,105.2474354736
0.4399167958,0.0000648868,0.0000326646,0.0000003925,13467.7121964212,161.4713337947
0.4391069558,0.0001043954,0.0000304134,0.0000009827,14437.9500080488,466.1931497388
0.4374123126,0.0000870284,0.0000425404,0.0000010812,10282.2690858749,261.6829409134
0.4363296676,0.0001089029,0.0000478420,0.0000009751,9120.2230799449,186.8257144531
