Pb207U235,sePb207U235,Pb206U238,sePb206U238,Pb204U238,sePb204U238,Pb207Pb206,sePb207Pb206,Pb204Pb207,sePb204Pb207,Pb204Pb206,sePb204Pb206
2.82294622,0.004412081,0.07022472,9.863022E-05,0.00114684,1.963904E-06,0.29168,0.0002,0.0559894405,8.37258003322084E-05,0.016331,0.000016
2.640148458,0.004086744,0.068610635,9.414838E-05,0.001062504,1.784623E-06,0.27921,0.0002,0.0554636295,8.38199491850252E-05,0.015486,0.000015
1.9622637644,0.003437294,0.0623247117,8.93405E-05,0.0007508258,1.554646E-06,0.22845,0.00023,0.0527336397,0.0001185186,0.012047,0.000018
2.58379442,0.004896443,0.068050357,0.0001157713,0.001032324,2.221881E-06,0.2755,0.00023,0.0550635209,0.000106714,0.01517,0.00002
2.220827909,0.004506336,0.0648172155,0.0001218369,0.0008677729,1.755216E-06,0.24861,0.00019,0.0538514139,7.27892716744466E-05,0.013388,0.00001
4.39875067,0.00491333,0.08494012,7.936306E-05,0.00187896,2.384669E-06,0.37576,0.00023,0.0588700234,7.77278053320493E-05,0.022121,0.000019
2.0325563454,0.005015678,0.0632071298,0.0001238494,0.0007819986,1.946813E-06,0.23333,0.00035,0.0530236146,0.0001439751,0.012372,0.000019
