Sm147Nd144,errSm147Nd144,Nd143Nd144,errNd143Nd144,rho
0.18649,0.0002,0.51297,0.00006,0.014
0.23209,0.00024,0.51417,0.00001,0.0023
0.24649,0.00025,0.51455,0.00002,0.0047
0.28153,0.00029,0.51545,0.00003,0.0058
