Ar39Ar40,errAr39Ar40,Ar36Ar40,errAr36Ar40,Ar39Ar36,errAr39Ar36
1.592425007,0.000364121,0.000009127,0.000000501,174483.126295511,9570.006241828
1.591412397,0.000353560,0.000009389,0.000000530,169501.068447629,9560.358628003
1.587052810,0.000354645,0.000011244,0.000000556,141142.061993785,6971.927062614
1.589071096,0.000345542,0.000008696,0.000000539,182730.680043049,11305.258285549
1.587721832,0.000388981,0.000007281,0.000000515,218067.000950712,15411.068042285
1.586436321,0.000441084,0.000007357,0.000000588,215621.837169632,17233.129972886
1.571539943,0.000718832,0.000028017,0.000001075,56091.527481720,2153.706901177
