Lu,err,Hf,err,Hf176Hf177,err
2.223,0.011115,0.233,0.001165,0.297717,0.0000095
1.689,0.008445,0.239,0.001195,0.293531,0.0000195
1.24,0.0062,0.314,0.00157,0.28876,0.0000085
1.222,0.00611,0.18,0.0009,0.293176,0.000014
1.16,0.0058,0.277,0.001385,0.289264,0.0000155
1.087,0.005435,0.264,0.00132,0.289139,0.000011
